                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2097,                 2.4417,                 1.5767,                0.33745,                0.28206,                0.23411,                 0.1563,                 1.2776,                 2.3393,                 1.6106,               0.008317,               0.008317,               0.008317
                     36,                 1.2074,                 2.4581,                 1.5737,                0.32707,                0.30289,                0.23705,                0.16112,                 1.2719,                 2.3232,                 1.6046,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2138,                  2.427,                 1.5787,                0.34747,                0.30753,                0.25351,                0.17357,                 1.2689,                 2.2776,                 1.6057,               0.008218,               0.008218,               0.008218
                     38,                 1.1997,                 2.3873,                 1.5683,                0.32649,                0.31088,                 0.2509,                0.16962,                 1.2698,                 2.2839,                 1.6007,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2033,                 2.3766,                 1.5625,                 0.3439,                0.32025,                0.25057,                0.16944,                 1.2745,                 2.2642,                  1.601,               0.008119,               0.008119,               0.008119
                     40,                 1.1942,                 2.3673,                 1.5584,                0.35067,                0.30202,                 0.2552,                0.17302,                 1.2606,                 2.2789,                 1.5922,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1923,                 2.3697,                   1.55,                0.39337,                0.30639,                0.26379,                0.17948,                 1.2564,                 2.2394,                 1.5786,                0.00802,                0.00802,                0.00802
                     42,                 1.1826,                 2.3275,                 1.5552,                0.32639,                0.33034,                0.26558,                0.18003,                 1.2632,                 2.2415,                 1.5919,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1902,                 2.3251,                 1.5537,                0.36227,                0.32474,                0.27555,                0.18716,                   1.24,                 2.2303,                  1.572,               0.007921,               0.007921,               0.007921
                     44,                 1.1721,                 2.3074,                 1.5477,                0.35097,                0.32825,                0.26996,                0.18471,                 1.2384,                 2.2132,                 1.5759,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.186,                 2.3064,                 1.5562,                0.32986,                0.33633,                0.27627,                0.18818,                 1.2446,                 2.2072,                 1.5641,               0.007822,               0.007822,               0.007822
                     46,                 1.1619,                 2.2582,                 1.5352,                0.34285,                0.33326,                0.28357,                0.19251,                 1.2396,                 2.1921,                 1.5712,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.1772,                 2.2762,                 1.5439,                0.36608,                0.34433,                0.28731,                0.19589,                 1.2393,                 2.1738,                 1.5628,               0.007723,               0.007723,               0.007723
                     48,                 1.1682,                  2.281,                  1.533,                0.40435,                0.32411,                0.29297,                0.20235,                 1.2441,                 2.1669,                 1.5717,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1705,                 2.2413,                 1.5317,                0.39848,                0.33812,                 0.2944,                  0.203,                 1.2335,                 2.1602,                  1.553,               0.007624,               0.007624,               0.007624
                     50,                 1.1509,                 2.2216,                 1.5274,                0.35164,                0.36334,                0.29494,                0.20361,                 1.2371,                 2.1673,                 1.5635,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.1648,                 2.2353,                 1.5349,                0.38802,                0.33831,                0.30099,                0.20601,                 1.2307,                 2.1435,                 1.5524,               0.007525,               0.007525,               0.007525
                     52,                 1.1663,                 2.2229,                 1.5301,                0.40637,                0.34423,                0.30568,                0.21257,                 1.2286,                 2.1191,                 1.5498,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.154,                 2.1941,                 1.5197,                0.41725,                0.33085,                0.29482,                0.20367,                 1.2217,                 2.1305,                 1.5383,               0.007426,               0.007426,               0.007426
                     54,                 1.1732,                 2.1864,                 1.5307,                0.40201,                0.33917,                0.29957,                 0.2075,                 1.2272,                 2.1286,                 1.5533,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1459,                 2.1763,                 1.5157,                0.39684,                0.35749,                0.30866,                0.21439,                 1.2217,                 2.0969,                 1.5451,               0.007327,               0.007327,               0.007327
                     56,                 1.1564,                 2.1844,                 1.5247,                0.39777,                0.35764,                0.31466,                0.21822,                 1.2158,                 2.0886,                 1.5365,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1502,                 2.1469,                 1.5099,                 0.4085,                0.34934,                0.32121,                0.22202,                  1.215,                  2.084,                 1.5396,               0.007228,               0.007228,               0.007228
                     58,                 1.1482,                 2.1488,                 1.5105,                0.43085,                0.33264,                0.31669,                0.22009,                 1.2184,                  2.088,                 1.5379,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1443,                 2.1462,                 1.5098,                0.38245,                  0.383,                0.31847,                0.22125,                 1.2091,                 2.0713,                  1.528,               0.007129,               0.007129,               0.007129
                     60,                 1.1432,                 2.1287,                 1.5071,                 0.4113,                0.36637,                 0.3165,                0.22087,                 1.2103,                 2.0726,                  1.528,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1342,                 2.1146,                 1.5012,                0.43561,                0.34715,                0.33084,                0.22963,                 1.2155,                 2.0334,                 1.5328,                0.00703,                0.00703,                0.00703
                     62,                 1.1451,                  2.116,                 1.5018,                 0.4268,                0.36629,                0.32727,                0.22701,                 1.2084,                  2.046,                 1.5282,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1438,                 2.0985,                  1.501,                0.43795,                 0.3692,                0.34011,                0.23613,                 1.2104,                 2.0396,                 1.5261,               0.006931,               0.006931,               0.006931
                     64,                 1.1327,                  2.097,                 1.4994,                0.41285,                 0.3728,                0.33537,                0.23475,                 1.2022,                 2.0362,                 1.5174,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1371,                 2.0817,                 1.4964,                0.40976,                0.36382,                0.33596,                0.23546,                 1.1986,                 2.0384,                 1.5169,               0.006832,               0.006832,               0.006832
                     66,                 1.1316,                 2.0743,                 1.4916,                0.41268,                0.37807,                0.33836,                0.23461,                 1.2022,                 2.0143,                 1.5232,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1267,                 2.0608,                 1.4915,                0.40343,                 0.3881,                0.34082,                0.23687,                 1.2006,                 2.0087,                  1.517,               0.006733,               0.006733,               0.006733
                     68,                 1.1345,                  2.045,                 1.4897,                0.39127,                0.38369,                0.33872,                0.23541,                 1.1977,                  2.009,                 1.5163,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1178,                 2.0502,                 1.4828,                0.41386,                0.37945,                0.34193,                0.23981,                 1.2031,                 1.9972,                 1.5201,               0.006634,               0.006634,               0.006634
                     70,                 1.1292,                 2.0443,                  1.487,                0.44035,                0.37048,                0.34456,                0.24052,                 1.1977,                 1.9917,                 1.5136,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1259,                 2.0284,                 1.4913,                0.40107,                0.39719,                0.34964,                0.24729,                 1.1942,                  1.984,                 1.5081,               0.006535,               0.006535,               0.006535
                     72,                 1.1123,                 2.0227,                 1.4779,                0.42741,                0.40548,                0.35401,                0.25158,                 1.1915,                 1.9821,                 1.5128,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1104,                 2.0098,                 1.4796,                0.41255,                0.40551,                0.35294,                0.25033,                 1.1985,                 1.9766,                 1.5125,               0.006436,               0.006436,               0.006436
                     74,                 1.1184,                 1.9833,                 1.4839,                0.42994,                 0.3961,                 0.3552,                   0.25,                 1.1934,                 1.9657,                  1.505,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1252,                 2.0079,                 1.4861,                 0.4495,                0.37925,                0.36024,                0.25367,                 1.1927,                 1.9689,                 1.5033,               0.006337,               0.006337,               0.006337
                     76,                 1.1143,                 1.9767,                 1.4728,                0.42973,                0.41021,                0.36313,                0.25534,                 1.1918,                 1.9581,                 1.4998,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.116,                 1.9796,                  1.478,                0.40128,                0.40992,                0.35926,                0.24996,                 1.1885,                 1.9551,                 1.5022,               0.006238,               0.006238,               0.006238
                     78,                 1.1077,                 1.9695,                 1.4749,                0.40629,                0.40588,                  0.361,                0.25229,                  1.191,                 1.9478,                 1.5011,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1196,                 1.9529,                 1.4784,                 0.4071,                 0.4203,                0.36072,                0.25353,                 1.1903,                 1.9496,                 1.4987,               0.006139,               0.006139,               0.006139
                     80,                 1.1067,                 1.9661,                 1.4728,                0.40906,                0.41286,                0.36388,                0.25414,                 1.1904,                 1.9398,                 1.4997,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1055,                 1.9459,                 1.4626,                 0.4057,                0.41571,                 0.3596,                0.25232,                 1.1875,                 1.9506,                 1.4976,                0.00604,                0.00604,                0.00604
                     82,                  1.105,                 1.9586,                 1.4709,                0.39706,                0.42095,                0.36486,                0.25509,                 1.1876,                 1.9445,                 1.4953,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.114,                 1.9368,                 1.4648,                 0.4099,                0.41454,                0.36269,                0.25414,                 1.1844,                 1.9439,                 1.4904,               0.005941,               0.005941,               0.005941
                     84,                 1.1024,                 1.9048,                  1.465,                0.42987,                0.40351,                0.36467,                0.25673,                 1.1814,                 1.9391,                 1.4905,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0993,                 1.9081,                 1.4566,                0.43143,                0.40377,                0.37035,                0.25993,                 1.1813,                 1.9316,                 1.4894,               0.005842,               0.005842,               0.005842
                     86,                 1.1044,                 1.9187,                 1.4615,                0.42244,                 0.4239,                0.37221,                0.26104,                 1.1819,                 1.9159,                 1.4909,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.0893,                 1.9032,                 1.4606,                0.42429,                0.41766,                0.37334,                 0.2638,                 1.1816,                  1.922,                 1.4942,               0.005743,               0.005743,               0.005743
                     88,                 1.0986,                 1.9023,                 1.4631,                0.41443,                0.42738,                0.37427,                0.26435,                  1.182,                  1.923,                  1.495,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0894,                 1.8859,                 1.4573,                0.42745,                0.41679,                 0.3779,                0.26569,                 1.1797,                 1.9179,                 1.4901,               0.005644,               0.005644,               0.005644
                     90,                 1.0806,                 1.8678,                 1.4498,                0.43003,                0.41836,                0.37906,                0.26736,                 1.1768,                 1.9109,                 1.4896,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0791,                 1.8727,                 1.4483,                0.44004,                0.41844,                0.38249,                0.26878,                  1.175,                 1.9075,                  1.488,               0.005545,               0.005545,               0.005545
                     92,                 1.0944,                 1.8742,                 1.4576,                0.41097,                0.43322,                0.38192,                0.26893,                 1.1783,                 1.9051,                 1.4902,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.0862,                 1.8662,                 1.4463,                0.43875,                0.41524,                0.38342,                0.27086,                 1.1747,                 1.9036,                 1.4854,               0.005446,               0.005446,               0.005446
                     94,                 1.0844,                 1.8601,                  1.445,                0.44509,                 0.4142,                0.38575,                0.27073,                 1.1727,                 1.8989,                 1.4832,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0762,                 1.8446,                 1.4405,                 0.4399,                0.42656,                0.38654,                0.27033,                  1.173,                 1.8949,                 1.4816,               0.005347,               0.005347,               0.005347
                     96,                  1.073,                 1.8448,                  1.442,                0.43656,                 0.4202,                0.38457,                0.26922,                 1.1731,                 1.8907,                 1.4821,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0709,                 1.8137,                 1.4408,                0.44346,                0.41371,                0.38621,                0.27083,                  1.172,                 1.8963,                 1.4811,               0.005248,               0.005248,               0.005248
                     98,                 1.0834,                  1.827,                 1.4407,                0.43767,                0.42541,                0.38824,                0.27281,                 1.1698,                 1.8966,                 1.4801,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0684,                 1.8289,                 1.4328,                0.44802,                0.41677,                0.38904,                0.27451,                 1.1704,                 1.8924,                  1.478,               0.005149,               0.005149,               0.005149
                    100,                 1.0795,                  1.814,                 1.4382,                0.43688,                0.43285,                0.39051,                0.27561,                 1.1717,                 1.8905,                 1.4818,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.0777,                 1.8298,                 1.4387,                0.43547,                0.43306,                0.38973,                0.27557,                 1.1734,                 1.8855,                 1.4812,                0.00505,                0.00505,                0.00505
                    102,                  1.065,                 1.8008,                 1.4326,                0.42368,                0.44702,                0.39134,                0.27627,                 1.1733,                 1.8823,                 1.4802,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.091,                 1.8247,                 1.4483,                0.42603,                0.44464,                0.38724,                0.27295,                 1.1712,                 1.8806,                 1.4797,               0.004951,               0.004951,               0.004951
                    104,                 1.0729,                 1.7939,                 1.4323,                0.42641,                0.44081,                0.38942,                0.27439,                 1.1697,                  1.877,                 1.4781,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.0742,                   1.78,                 1.4361,                0.42717,                0.43734,                0.38768,                0.27387,                 1.1702,                 1.8752,                 1.4786,               0.004852,               0.004852,               0.004852
                    106,                 1.0574,                 1.7837,                 1.4247,                0.42883,                0.44024,                0.38746,                0.27365,                 1.1698,                 1.8688,                 1.4775,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.0682,                 1.7732,                 1.4328,                0.45036,                0.42674,                0.39129,                0.27586,                 1.1686,                 1.8707,                 1.4764,               0.004753,               0.004753,               0.004753
