                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                 1.0021,                 1.5492,                 1.3734,                0.47506,                0.41832,                0.40946,                0.28994,                 1.1554,                   1.83,                 1.4598,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.0363,                 1.5538,                 1.3917,                0.47259,                0.42011,                0.40997,                0.29008,                 1.1552,                   1.83,                 1.4592,               0.002773,               0.002773,               0.002773
                    148,                  1.016,                 1.5474,                 1.3796,                0.47266,                0.42036,                0.41019,                0.29027,                 1.1552,                  1.829,                  1.459,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0027,                 1.5217,                  1.378,                0.47376,                0.42144,                0.41061,                0.29068,                  1.155,                 1.8287,                  1.459,               0.002674,               0.002674,               0.002674
                    150,                 1.0075,                 1.5211,                 1.3719,                0.47294,                0.42198,                0.40953,                0.29019,                 1.1551,                 1.8282,                 1.4587,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.0129,                 1.5118,                 1.3785,                0.47397,                0.42185,                0.41094,                0.29147,                 1.1547,                 1.8272,                 1.4586,               0.002575,               0.002575,               0.002575
                    152,                 1.0141,                 1.5103,                 1.3761,                0.47529,                0.42311,                0.41178,                0.29149,                 1.1548,                 1.8267,                 1.4586,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0118,                  1.501,                 1.3768,                0.47202,                0.42521,                0.41189,                0.29153,                 1.1548,                 1.8261,                 1.4582,               0.002476,               0.002476,               0.002476
                    154,                 1.0058,                 1.5073,                 1.3713,                  0.472,                0.42559,                0.41232,                0.29193,                 1.1546,                 1.8255,                 1.4582,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0142,                 1.5008,                  1.374,                 0.4717,                0.42667,                0.41244,                0.29176,                 1.1545,                 1.8253,                  1.458,               0.002377,               0.002377,               0.002377
                    156,                 1.0057,                 1.4977,                 1.3737,                0.47228,                0.42605,                0.41212,                0.29164,                 1.1544,                 1.8246,                 1.4579,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0107,                 1.4929,                 1.3755,                0.47066,                0.42688,                0.41222,                0.29165,                 1.1542,                 1.8242,                 1.4576,               0.002278,               0.002278,               0.002278
                    158,                 1.0057,                 1.4998,                 1.3721,                0.47168,                0.42498,                0.41243,                 0.2919,                 1.1537,                  1.824,                 1.4573,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0126,                 1.4938,                 1.3748,                 0.4711,                0.42623,                0.41262,                0.29193,                 1.1537,                 1.8237,                 1.4572,               0.002179,               0.002179,               0.002179
                    160,                0.98336,                 1.4917,                 1.3631,                0.47076,                0.42642,                 0.4129,                0.29222,                 1.1538,                 1.8235,                 1.4572,              0.0021295,              0.0021295,              0.0021295
                    161,                 0.9957,                 1.4672,                 1.3588,                0.47257,                 0.4248,                0.41302,                0.29282,                 1.1538,                 1.8232,                 1.4572,                0.00208,                0.00208,                0.00208
                    162,                0.99582,                 1.4621,                  1.369,                0.47257,                0.42477,                0.41329,                0.29294,                 1.1538,                  1.823,                 1.4572,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0007,                 1.4532,                 1.3621,                0.47287,                0.42747,                0.41364,                0.29324,                 1.1536,                 1.8229,                 1.4569,               0.001981,               0.001981,               0.001981
                    164,                0.99474,                 1.4662,                 1.3618,                0.47183,                0.42676,                0.41353,                0.29322,                 1.1534,                 1.8228,                 1.4568,              0.0019315,              0.0019315,              0.0019315
                    165,                0.98396,                 1.4645,                 1.3574,                0.47165,                0.42771,                0.41374,                0.29309,                 1.1535,                 1.8225,                 1.4568,               0.001882,               0.001882,               0.001882
                    166,                0.98522,                 1.4499,                 1.3587,                0.47258,                0.42861,                0.41401,                0.29312,                 1.1534,                 1.8225,                 1.4569,              0.0018325,              0.0018325,              0.0018325
                    167,                0.98739,                 1.4399,                 1.3608,                0.47181,                0.42891,                0.41378,                0.29307,                 1.1534,                 1.8221,                 1.4567,               0.001783,               0.001783,               0.001783
                    168,                0.99595,                 1.4392,                 1.3607,                 0.4741,                0.42647,                0.41364,                0.29316,                 1.1532,                 1.8218,                 1.4565,              0.0017335,              0.0017335,              0.0017335
                    169,                0.98682,                  1.433,                 1.3641,                0.47439,                0.42978,                0.41448,                0.29331,                 1.1533,                 1.8215,                 1.4565,               0.001684,               0.001684,               0.001684
                    170,                0.98522,                 1.4367,                 1.3574,                0.47376,                0.43043,                0.41337,                0.29305,                 1.1538,                 1.8211,                 1.4571,              0.0016345,              0.0016345,              0.0016345
                    171,                0.98786,                 1.4222,                 1.3569,                0.47454,                0.43087,                0.41383,                0.29329,                 1.1538,                 1.8215,                 1.4566,               0.001585,               0.001585,               0.001585
                    172,                0.98589,                 1.4116,                 1.3495,                0.47512,                0.43156,                0.41387,                0.29331,                 1.1541,                 1.8211,                 1.4571,              0.0015355,              0.0015355,              0.0015355
                    173,                 0.9871,                 1.4355,                 1.3554,                0.47527,                 0.4308,                0.41437,                0.29365,                  1.154,                 1.8212,                 1.4571,               0.001486,               0.001486,               0.001486
                    174,                0.98224,                 1.4267,                 1.3531,                0.47125,                0.43169,                0.41427,                0.29355,                 1.1539,                 1.8216,                 1.4569,              0.0014365,              0.0014365,              0.0014365
                    175,                0.98293,                 1.4087,                 1.3511,                0.47393,                0.43042,                 0.4143,                0.29372,                  1.154,                 1.8215,                 1.4568,               0.001387,               0.001387,               0.001387
                    176,                0.97229,                 1.4024,                 1.3507,                0.47478,                0.43006,                0.41449,                0.29391,                  1.154,                  1.821,                 1.4568,              0.0013375,              0.0013375,              0.0013375
                    177,                0.96717,                 1.3829,                 1.3468,                0.47496,                0.42894,                0.41496,                0.29432,                  1.154,                 1.8212,                  1.457,               0.001288,               0.001288,               0.001288
                    178,                0.98177,                 1.3948,                 1.3551,                0.47766,                 0.4278,                0.41524,                0.29442,                 1.1538,                 1.8214,                 1.4569,              0.0012385,              0.0012385,              0.0012385
                    179,                0.96716,                 1.3805,                 1.3402,                0.47409,                0.43084,                0.41548,                0.29443,                 1.1541,                 1.8215,                 1.4571,               0.001189,               0.001189,               0.001189
                    180,                0.97409,                 1.3785,                  1.352,                0.47259,                0.43178,                0.41591,                0.29477,                 1.1542,                 1.8217,                 1.4572,              0.0011395,              0.0011395,              0.0011395
                    181,                0.97113,                 1.3743,                 1.3441,                0.48197,                0.42439,                0.41603,                0.29471,                 1.1543,                 1.8215,                 1.4574,                0.00109,                0.00109,                0.00109
                    182,                0.97496,                 1.3849,                   1.35,                 0.4714,                 0.4325,                0.41578,                 0.2946,                 1.1543,                 1.8216,                 1.4575,              0.0010405,              0.0010405,              0.0010405
                    183,                0.96112,                 1.3745,                 1.3438,                0.46732,                0.43478,                0.41617,                0.29494,                 1.1543,                 1.8213,                 1.4575,               0.000991,               0.000991,               0.000991
                    184,                0.96725,                  1.365,                 1.3387,                0.46534,                0.43694,                0.41622,                0.29502,                 1.1543,                 1.8217,                 1.4575,              0.0009415,              0.0009415,              0.0009415
                    185,                0.96784,                 1.3585,                 1.3386,                0.46569,                0.43588,                0.41602,                0.29496,                 1.1543,                 1.8219,                 1.4573,               0.000892,               0.000892,               0.000892
                    186,                0.98157,                 1.3651,                 1.3466,                0.47098,                 0.4342,                0.41602,                0.29506,                 1.1544,                 1.8221,                 1.4575,              0.0008425,              0.0008425,              0.0008425
                    187,                0.95615,                 1.3478,                 1.3342,                0.46993,                 0.4346,                0.41583,                0.29486,                 1.1545,                  1.822,                 1.4576,               0.000793,               0.000793,               0.000793
                    188,                0.96607,                 1.3512,                 1.3355,                0.47115,                0.43508,                0.41637,                0.29533,                 1.1547,                 1.8222,                 1.4574,              0.0007435,              0.0007435,              0.0007435
                    189,                 0.9576,                 1.3363,                 1.3343,                 0.4728,                0.43321,                0.41626,                0.29498,                 1.1548,                 1.8227,                 1.4576,               0.000694,               0.000694,               0.000694
                    190,                0.96357,                 1.3506,                 1.3384,                0.47181,                  0.433,                0.41635,                0.29531,                 1.1548,                 1.8228,                 1.4578,              0.0006445,              0.0006445,              0.0006445
                    191,                0.95158,                 1.2108,                 1.3495,                0.47406,                0.43084,                 0.4163,                0.29526,                 1.1551,                  1.823,                  1.458,               0.000595,               0.000595,               0.000595
                    192,                0.93619,                   1.18,                 1.3382,                0.47361,                 0.4311,                0.41644,                0.29525,                 1.1555,                 1.8234,                 1.4582,              0.0005455,              0.0005455,              0.0005455
                    193,                0.93669,                 1.1546,                 1.3413,                0.47317,                0.43166,                0.41653,                0.29559,                 1.1555,                 1.8234,                 1.4583,               0.000496,               0.000496,               0.000496
                    194,                0.93304,                 1.1548,                 1.3362,                0.47535,                0.43175,                0.41669,                0.29561,                 1.1551,                 1.8232,                 1.4581,              0.0004465,              0.0004465,              0.0004465
                    195,                0.93574,                 1.1272,                 1.3342,                0.47315,                0.43332,                0.41663,                0.29553,                 1.1552,                 1.8231,                 1.4582,               0.000397,               0.000397,               0.000397
                    196,                0.93274,                 1.1397,                 1.3403,                0.47191,                0.43434,                0.41668,                0.29571,                 1.1554,                 1.8229,                 1.4584,              0.0003475,              0.0003475,              0.0003475
                    197,                0.92206,                 1.1172,                  1.327,                0.47365,                0.43452,                 0.4168,                0.29565,                 1.1553,                 1.8233,                 1.4585,               0.000298,               0.000298,               0.000298
                    198,                0.92822,                 1.1335,                 1.3304,                0.47458,                0.43335,                0.41653,                0.29554,                 1.1556,                 1.8231,                 1.4588,              0.0002485,              0.0002485,              0.0002485
                    199,                0.92385,                 1.1167,                 1.3254,                0.47484,                0.43333,                0.41658,                0.29568,                 1.1556,                 1.8232,                  1.459,               0.000199,               0.000199,               0.000199
                    200,                0.91894,                 1.1143,                 1.3241,                0.47488,                0.43214,                 0.4163,                0.29554,                 1.1559,                 1.8236,                 1.4593,              0.0001495,              0.0001495,              0.0001495
